"year","Uppsala_county","Halland_county","Varmland_county"
2002,132325,137367,137568
2003,129258,139554,138557
2004,130668,141854,139414
2005,132716,144210,139952
2006,133191,146275,141074
2007,142099,148258,142364
2008,141838,148908,142691
2009,143298,150742,142967
2010,145307,152586,143651
2011,147403,155689,145330
2012,149835,157454,146721
2013,150255,159424,147440
2014,153499,163034,149218
2015,157021,166759,150789
2016,160380,170575,153076
2017,162740,173947,154948
2018,164118,175912,155764
2019,165057,177780,155663
2020,167999,179624,156597
2021,170634,181386,157181
2022,171060,181259,156665
