"year" "Uppsala_county" "Halland_county" "Varmland_county"
"1" 2002 298735 278391 273538
"2" 2003 300379 281177 273605
"3" 2004 302498 283543 273497
"4" 2005 304375 285685 273213
"5" 2006 306278 288652 273544
"6" 2007 322856 291198 273822
"7" 2008 326831 293399 273726
"8" 2009 331472 296482 273410
"9" 2010 335623 299228 273464
"10" 2011 338466 301307 272883
"11" 2012 341465 303850 273113
"12" 2013 345139 306326 273623
"13" 2014 348995 310223 274553
"14" 2015 353617 314008 275668
"15" 2016 360124 319305 278252
"16" 2017 368020 324085 280122
"17" 2018 375240 328853 281305
"18" 2019 383044 333202 282342
"19" 2020 388076 336440 282906
"20" 2021 394154 339903 283169
"21" 2022 400070 342658 283951
